id,user_id,created_at,browser,traffic_source,event_type
2408015,,2019-11-24 03:14:00.000000 UTC,IE,Email,cart
2382936,,2020-04-17 11:46:00.000000 UTC,Safari,Email,cart
2392486,,2021-03-30 12:49:00.000000 UTC,Firefox,Email,cart
2416053,,2023-10-17 18:34:00.000000 UTC,Firefox,Email,cart
2389274,,2023-09-25 04:42:00.000000 UTC,Safari,Email,cart
2391811,,2021-09-16 04:10:00.000000 UTC,Firefox,Email,cart
2379923,,2023-01-20 09:22:00.000000 UTC,Chrome,Email,cart
2395704,,2020-09-05 01:08:00.000000 UTC,Safari,Email,cart
2421329,,2019-05-18 00:49:00.000000 UTC,Chrome,Email,cart
2388541,,2021-04-12 11:55:00.000000 UTC,Chrome,Email,cart
2407013,,2023-07-24 13:21:00.000000 UTC,Firefox,Email,cart
2379355,,2019-03-16 16:55:00.000000 UTC,Firefox,Email,cart
2418279,,2022-03-13 04:15:00.000000 UTC,Firefox,Email,cart
2419941,,2022-02-13 18:18:00.000000 UTC,Safari,Email,cart
2397336,,2021-07-06 08:04:00.000000 UTC,Chrome,Email,cart
2408542,,2019-04-27 07:02:00.000000 UTC,Chrome,Email,cart
2408002,,2020-12-20 17:20:00.000000 UTC,Chrome,Email,cart
2392281,,2019-09-01 11:53:00.000000 UTC,Other,Email,cart
2405968,,2019-04-23 15:47:00.000000 UTC,Chrome,Email,cart
2398960,,2023-03-07 14:17:00.000000 UTC,Chrome,Email,cart
2413732,,2020-04-21 11:25:00.000000 UTC,Chrome,Email,cart
2405747,,2023-04-21 16:44:00.000000 UTC,Safari,Email,cart
2418602,,2022-01-08 02:25:00.000000 UTC,Safari,Email,cart
2413197,,2022-10-05 11:12:00.000000 UTC,IE,Email,cart
2422086,,2020-07-27 14:19:00.000000 UTC,Safari,Email,cart
2416094,,2021-02-09 00:45:00.000000 UTC,IE,Email,cart
2381174,,2020-04-08 02:01:00.000000 UTC,Firefox,Email,cart
2421632,,2019-04-03 07:30:00.000000 UTC,Chrome,Email,cart
2412910,,2023-05-31 06:41:00.000000 UTC,IE,Email,cart
2393448,,2019-04-20 08:51:00.000000 UTC,Chrome,Email,cart
2417139,,2019-01-07 01:06:00.000000 UTC,Safari,Email,cart
2401474,,2020-02-25 11:54:00.000000 UTC,Chrome,Email,cart
2416579,,2022-03-12 02:24:00.000000 UTC,Chrome,Email,cart
2385931,,2021-08-29 01:17:00.000000 UTC,IE,Email,cart
2406437,,2021-07-23 14:51:00.000000 UTC,Chrome,Email,cart
2421086,,2022-02-15 05:10:00.000000 UTC,Firefox,Email,cart
2387979,,2021-11-09 19:18:00.000000 UTC,Chrome,Email,cart
2406863,,2021-06-15 16:02:00.000000 UTC,Safari,Email,cart
2381126,,2022-07-29 01:05:00.000000 UTC,Safari,Email,cart
2397766,,2019-10-14 10:05:00.000000 UTC,Chrome,Email,cart
2396922,,2020-04-27 13:17:00.000000 UTC,Chrome,Email,cart
2395295,,2021-11-29 15:01:00.000000 UTC,Chrome,Email,cart
2404455,,2019-05-06 11:34:00.000000 UTC,Firefox,Email,cart
2396898,,2023-04-21 03:34:00.000000 UTC,Chrome,Email,cart
2422808,,2022-09-16 05:01:00.000000 UTC,Chrome,Email,cart
2402196,,2021-06-30 00:27:00.000000 UTC,Safari,Email,cart
2381309,,2020-09-27 02:18:00.000000 UTC,Safari,Email,cart
2386595,,2022-06-15 08:50:00.000000 UTC,Chrome,Email,cart
2403092,,2022-03-23 15:49:00.000000 UTC,Chrome,Email,cart
